,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
55,커피나인-이태원점,2022년 3월 10일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었습니다 감사합니다
56,커피나인-이태원점,2022년 3월 10일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",맛있게잘먹었습니다 감사합니다
57,커피나인-이태원점,2022년 3월 10일,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",맛있게 잘먹었습니다 감사합니다
58,커피나인-이태원점,2022년 3월 9일,5,5,5,"
            나인스쿠키/2(쿠키 선택(더블초콜렛 칩 쿠키))
          ",쿠키 너무 맛있어요..
59,커피나인-이태원점,2022년 3월 9일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),죠리퐁라떼/1(추가 선택(덜달게))
          ","배달빠르고 맛있어요
배달료가없다는게 정말 좋네요"
60,커피나인-이태원점,2022년 3월 8일,5,4,4,"
            아메리카노/2(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",익스프레스인데 배달무료까지! 거기다가 최소주문금액 7천원! 너무 좋아요~~~~
61,커피나인-이태원점,2022년 3월 8일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),블랙모카라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),샷추가/1,유자유자버스트/1(추가 선택(얼음조금))
          ",기본 라떼에 샷추가 해달라고 했는데 블랙모카에 해주셨네요 ㅎㅎ
62,커피나인-이태원점,2022년 3월 8일,5,5,5,"
            아메리카노/4(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",매번 잘 먹고있습니다~~ㅎ
63,커피나인-이태원점,2022년 3월 7일,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",감사합니다 잘먹었습니다
64,커피나인-이태원점,2022년 3월 7일,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",감사합니다 잘먹었습니다
65,커피나인-이태원점,2022년 3월 7일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",요즘 커피나인 거의 매일 시키고 있네요! 가성비 좋고 쿠키도 넘 맛나요
66,커피나인-이태원점,2022년 3월 6일,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ","최소 주문 금액도 적고
배달비도 저렴하고 너무 좋습니다
커피는 항상 여기서 주문해요"
67,커피나인-이태원점,2022년 3월 6일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(케냐))
          ",캔 팔아서 넘 좋아요
68,커피나인-이태원점,2022년 3월 6일,5,5,5,"
            나인스쿠키/2(쿠키 선택(더블초콜렛 칩 쿠키))
          ",쿠키..  너무 맛있어요.  제취향이에요ㅜㅜ
69,커피나인-이태원점,2022년 3월 6일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),더치커피 디카페인/1(HOT or ICE 선택(ICE),추가 선택(진하게))
          ",말해 뭐해요 최고입니다
70,커피나인-이태원점,2022년 3월 6일,5,5,5,"
            나인스쿠키/2(쿠키 선택(더블초콜렛 칩 쿠키))
          ",쿠키가 너무 맛있어요..
71,커피나인-이태원점,2022년 3월 6일,4,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),샷추가/2
          ","아올만에시켯는데 
뜨아는 맛잇네요 향도 잇구
아아는샷 따로시켯는데 잘햇어요! 아아는아쉬움이 샷조금더추가해야 아메맛나네요~잘먹겠습니다.
배달비무료감사합니다이"
72,커피나인-이태원점,2022년 3월 5일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(케냐))
          ",배달 빠르고 가성비 짱
73,커피나인-이태원점,2022년 3월 5일,4,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),더치커피 디카페인/1(HOT or ICE 선택(HOT),추가 선택(진하게))
          ",돌체가 더 진함 좋을 거 같아요
74,커피나인-이태원점,2022년 3월 5일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",커피랑 쿠키 맛나요
75,커피나인-이태원점,2022년 3월 4일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",맛있게 잘먹었습니다
76,커피나인-이태원점,2022년 3월 4일,4,5,4,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),죠리퐁라떼/1
          ",맛잇어요 배달도 빨리와서 잘먹었어요
77,커피나인-이태원점,2022년 3월 4일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),바닐라 라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",아메리카노 그리고 라떼 다 맛있네요.
78,커피나인-이태원점,2022년 3월 4일,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(에티오피아))
          ",항상 맛있게 즐기고 있어요
79,커피나인-이태원점,2022년 3월 4일,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",커피맛이 아주좋아영
80,커피나인-이태원점,2022년 3월 3일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",배송 빠르고 커피 맛있어서 자주 시켜 먹네요!
81,커피나인-이태원점,2022년 3월 2일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치커피 디카페인/1(HOT or ICE 선택(ICE),추가 선택(진하게))
          ","최애 커피!
딱 두잔만 시켜도 최저금액 채우고,
배달비도 없고 맛도 좋고 체고 
또 주문할게요"
82,커피나인-이태원점,2022년 3월 2일,5,5,5,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ","배달도 빠르고 커피도 맛있고
감사합니다!!!!!!!^-^//"
83,커피나인-이태원점,2022년 3월 2일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",달달한 돌체라떼 너무 맛있어요!!^^
84,커피나인-이태원점,2022년 3월 1일,5,5,5,"
            돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),블랙모카라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",감사합니다. 기분좋게 마셨어요.
85,커피나인-이태원점,2022년 3월 1일,5,5,5,"
            아메리카노/2(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",자주시켜먹어요~~~~~
86,커피나인-이태원점,2022년 3월 1일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),카라멜 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ","간간히 시켜마십니다
맛있어요"
87,커피나인-이태원점,2022년 2월 28일,5,5,5,"
            나인스쿠키/2(쿠키 선택(더블초콜렛 칩 쿠키))
          ","초콜렛칩이 촉촉하고 맛있어요.
이 동네 있는 동안 꾸준히 시켜 먹으려구요 ㅜㅜ"
88,커피나인-이태원점,2022년 2월 28일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",집에 기계가 없어 배달로 홈카페 했네요. 친구가 젛아했어요
